1	463.381144517	294	374
2	367.283577048	489	179
3	405.97774655	479	189
4	383.146452405	475	193
5	350.542876108	485	183
6	350.136676241	503	165
7	382.891823292	465	203
8	383.292528298	499	169
9	362.154763996	509	159
10	352.682745191	496	172
0.306746524	0	0
0.683533362	1	0
0.956888017	1	0
0.746650774	1	0
0.001222347	0	0
0.495975779	0	0
0.021367058	0	0
0.141780903	0	1
0.438594985	0	0
0.071648025	0	0
0.884676828	1	1
0.083599570	0	0
0.594469328	1	1
0.785078331	1	1
0.449318234	0	0
0.626608358	1	0
0.299406381	0	0
0.154431081	0	0
0.983431898	1	1
0.729717837	1	0
0.844218415	1	0
0.718738850	1	0
0.038815569	0	0
0.250562915	0	0
0.907331778	1	1
0.733712454	1	0
0.066282689	0	0
0.290054889	0	0
0.264428953	0	0
0.637381597	1	0
0.114214298	0	0
0.154759328	0	0
0.843540334	1	0
0.470717453	0	1
0.824237460	1	1
0.521868189	1	1
0.330227860	0	0
0.091813717	0	0
0.100279107	0	0
0.343683052	0	1
0.539184372	1	0
0.049908666	0	0
0.939070805	1	0
0.711155318	1	1
0.277554345	0	0
0.194466424	0	0
0.527597155	1	1
0.985344262	1	1
0.897441660	1	0
0.421741414	0	1
0.857618209	1	0
0.398877128	0	0
0.930730922	1	0
0.421356662	0	0
0.974305050	1	1
0.113268338	0	0
0.217566340	0	0
0.327369532	0	1
0.378302669	0	1
0.129356385	0	0
0.253363351	0	0
0.154751873	0	0
0.213552481	0	1
0.699882164	1	1
0.711205490	1	0
0.684658345	1	1
0.082121071	0	0
0.081262891	0	0
0.246547882	0	0
0.479097548	0	1
0.718150380	1	1
0.995685007	1	1
0.163697260	0	0
0.711535204	1	0
0.404355355	0	1
0.812016363	1	1
0.615352731	1	0
0.027479442	0	0
0.232029553	0	0
0.967823721	1	1
0.925956583	1	1
0.087871635	0	1
0.241509361	0	0
0.857058538	1	1
0.486676759	0	0
0.443974432	0	1
0.210564961	0	0
0.962841749	1	1
0.049144045	0	0
0.895038482	1	1
0.043532223	0	0
0.114240285	0	0
0.425860366	0	0
0.881214152	1	1
0.313295060	0	0
0.177013471	0	0
0.858096476	1	1
0.972269437	1	1
0.252096178	0	0
0.738770985	1	0
70	30
0.615384615385
